id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str,x_max_nm
ALD_Al2O3_Si_00712,Al2O3,Si(100),ALD,208.7,9.4,0.1,1.01,99.9,0.49,6.576947005240711e-19,6.58e-19,0.3
ALD_Al2O3_Si_00713,Al2O3,Si(100),ALD,159.9,4.8,0.84,0.99,96.4,1.25,2.0500162347792266e-18,2.05e-18,2.1324146549791085
ALD_Al2O3_Si_00714,Al2O3,Si(100),ALD,196.2,0.9,0.39,1.02,99.9,0.55,2.63715415521552e-18,2.64e-18,0.7251136889274823
ALD_Al2O3_Si_00715,Al2O3,Si(100),ALD,230.7,2.9,0.42,1.05,99.9,0.96,3.0771891629196468e-18,3.08e-18,1.4187841486997521
ALD_Al2O3_Si_00716,Al2O3,Si(100),ALD,349.3,3.4,0.71,1.2,99.9,2.0,2.0232578796058746e-17,2.02e-17,9.854353616019853
ALD_Al2O3_Si_00717,Al2O3,Si(100),ALD,292.7,0.7,0.39,1.11,99.9,2.0,5.249269102243319e-18,5.25e-18,3.7201039046180266
ALD_Al2O3_Si_00718,Al2O3,Si(100),ALD,230.3,9.5,0.3,1.05,99.9,0.9,1.826638350463847e-18,1.83e-18,0.8661094453849281
ALD_Al2O3_Si_00719,Al2O3,Si(100),ALD,166.0,2.4,0.3,0.98,99.9,1.12,2.8161866228047483e-18,2.82e-18,1.3382976579672634
ALD_Al2O3_Si_00720,Al2O3,Si(100),ALD,335.5,5.2,0.49,1.16,99.9,2.0,1.1413540637373361e-17,1.14e-17,6.148675630348012
ALD_Al2O3_Si_00721,Al2O3,Si(100),ALD,318.5,2.6,0.66,1.16,99.9,2.0,2.4481666566245845e-17,2.45e-17,10.0
ALD_Al2O3_Si_00722,Al2O3,Si(100),ALD,230.7,3.1,0.99,1.05,99.9,0.83,9.27292707804517e-18,9.27e-18,3.2692449702228923
ALD_Al2O3_Si_00723,Al2O3,Si(100),ALD,224.2,7.8,0.11,1.01,99.9,0.85,7.432006242657937e-19,7.43e-19,0.31594512125819485
ALD_Al2O3_Si_00724,Al2O3,Si(100),ALD,165.4,2.3,0.18,0.99,99.9,1.05,1.066101207529197e-18,1.07e-18,0.5979544765546503
ALD_Al2O3_Si_00725,Al2O3,Si(100),ALD,219.3,8.1,0.25,1.03,99.9,0.63,1.9688738867098842e-18,1.97e-18,0.5745963402953871
ALD_Al2O3_Si_00726,Al2O3,Si(100),ALD,166.8,7.7,0.28,0.98,94.6,1.13,1.396077760182531e-18,1.4e-18,0.9184502058596052
ALD_Al2O3_Si_00727,Al2O3,Si(100),ALD,294.9,5.5,0.18,1.1,99.9,2.0,3.6724605419970375e-18,3.67e-18,2.1139181600766843
ALD_Al2O3_Si_00728,Al2O3,Si(100),ALD,256.7,4.8,0.62,1.09,99.9,2.0,6.362747398417476e-18,6.36e-18,5.164063022102589
ALD_Al2O3_Si_00729,Al2O3,Si(100),ALD,165.1,5.0,0.94,1.0,95.1,1.28,3.011070206548943e-18,3.01e-18,2.7994820655961687
ALD_Al2O3_Si_00730,Al2O3,Si(100),ALD,309.1,1.0,0.8,1.14,99.9,2.0,1.7292015265164242e-17,1.73e-17,9.67032670358185
ALD_Al2O3_Si_00731,Al2O3,Si(100),ALD,152.2,7.0,0.46,0.98,94.0,1.58,2.7945875241045953e-18,2.79e-18,2.3288322843581546
ALD_Al2O3_Si_00732,Al2O3,Si(100),ALD,179.9,9.0,0.37,0.98,96.0,0.72,1.695554513607216e-18,1.7e-18,0.7413658712448895
ALD_Al2O3_Si_00733,Al2O3,Si(100),ALD,211.0,7.9,0.25,1.03,98.2,0.53,2.196121480006872e-18,2.2e-18,0.5105254609493884
ALD_Al2O3_Si_00734,Al2O3,Si(100),ALD,238.7,3.7,0.56,1.04,99.9,1.41,9.651347050816325e-18,9.65e-18,4.261381780958298
ALD_Al2O3_Si_00735,Al2O3,Si(100),ALD,315.8,2.6,0.93,1.18,99.9,2.0,2.131371343551968e-17,2.13e-17,10.0
ALD_Al2O3_Si_00736,Al2O3,Si(100),ALD,161.1,9.7,0.15,0.98,94.0,1.24,7.756775095883112e-19,7.76e-19,0.5498589098772041
ALD_Al2O3_Si_00737,Al2O3,Si(100),ALD,298.6,9.1,0.69,1.14,99.9,2.0,1.3942768891959882e-17,1.39e-17,8.06440643938893
ALD_Al2O3_Si_00738,Al2O3,Si(100),ALD,168.1,1.2,0.17,0.99,99.9,0.91,7.566029224928169e-19,7.57e-19,0.4242708680282132
ALD_Al2O3_Si_00739,Al2O3,Si(100),ALD,322.3,6.0,0.11,1.15,99.9,2.0,2.100306383259049e-18,2.1e-18,1.2497150981689502
ALD_Al2O3_Si_00740,Al2O3,Si(100),ALD,284.8,0.9,0.92,1.15,99.9,2.0,1.1781645456125532e-17,1.18e-17,8.559930456536193
ALD_Al2O3_Si_00741,Al2O3,Si(100),ALD,292.4,1.6,0.57,1.09,99.9,2.0,1.1867378198459764e-17,1.19e-17,6.7622024277823245
ALD_Al2O3_Si_00742,Al2O3,Si(100),ALD,162.4,8.9,0.69,0.98,94.5,1.28,4.371031273089597e-18,4.37e-18,2.889813557216721
ALD_Al2O3_Si_00743,Al2O3,Si(100),ALD,187.6,4.8,0.82,1.02,99.8,0.65,6.783500389950747e-18,6.78e-18,1.9929231972322357
ALD_Al2O3_Si_00744,Al2O3,Si(100),ALD,339.5,6.3,0.11,1.15,99.9,2.0,3.0479581571352706e-18,3.05e-18,1.5054772285377775
ALD_Al2O3_Si_00745,Al2O3,Si(100),ALD,248.2,3.5,0.68,1.09,99.9,1.65,1.1217898523545912e-17,1.12e-17,5.9243063270667
ALD_Al2O3_Si_00746,Al2O3,Si(100),ALD,154.0,7.8,0.46,0.97,94.6,1.46,2.356680793260985e-18,2.36e-18,1.976175474376861
ALD_Al2O3_Si_00747,Al2O3,Si(100),ALD,189.1,2.7,0.95,1.04,99.9,0.47,6.4472168453797944e-18,6.45e-18,1.5121300763946628
ALD_Al2O3_Si_00748,Al2O3,Si(100),ALD,272.0,2.6,0.16,1.07,99.9,2.0,8.72035741840133e-19,8.72e-19,0.9711816814449745
ALD_Al2O3_Si_00749,Al2O3,Si(100),ALD,340.6,8.4,0.64,1.16,99.9,2.0,1.5205702202536033e-17,1.52e-17,8.110853839704664
ALD_Al2O3_Si_00750,Al2O3,Si(100),ALD,255.8,4.7,0.8,1.07,99.9,2.0,6.569580459471227e-18,6.57e-18,5.9605613095429515
ALD_Al2O3_Si_00751,Al2O3,Si(100),ALD,178.3,7.3,0.4,0.98,97.9,0.82,2.901404194236206e-18,2.9e-18,1.1483950652184949
ALD_Al2O3_Si_00752,Al2O3,Si(100),ALD,195.8,3.8,0.22,0.99,99.9,0.38,1.5942696490167561e-18,1.59e-18,0.3
ALD_Al2O3_Si_00753,Al2O3,Si(100),ALD,222.9,5.5,0.95,1.06,99.2,0.71,6.392490452110726e-18,6.39e-18,2.274566024202733
ALD_Al2O3_Si_00754,Al2O3,Si(100),ALD,198.6,5.2,0.74,1.05,99.6,0.45,5.939927341339619e-18,5.94e-18,1.2264851444059826
ALD_Al2O3_Si_00755,Al2O3,Si(100),ALD,162.0,2.4,0.87,0.99,99.9,1.02,2.864973576163832e-18,2.86e-18,2.093454184656221
ALD_Al2O3_Si_00756,Al2O3,Si(100),ALD,207.9,1.0,1.0,1.1,99.9,0.58,5.820075738370468e-18,5.82e-18,1.8190124184500296
ALD_Al2O3_Si_00757,Al2O3,Si(100),ALD,176.5,7.2,0.52,1.01,97.1,0.76,2.4403231744570333e-18,2.44e-18,1.1129670026104712
ALD_Al2O3_Si_00758,Al2O3,Si(100),ALD,243.7,0.7,0.68,1.08,99.9,1.45,9.125628130297329e-18,9.13e-18,4.695665960119767
ALD_Al2O3_Si_00759,Al2O3,Si(100),ALD,323.1,9.9,0.77,1.15,99.9,2.0,2.949781275235568e-17,2.95e-17,10.0
ALD_Al2O3_Si_00760,Al2O3,Si(100),ALD,263.6,7.5,0.96,1.12,99.9,2.0,1.1213015035003445e-17,1.12e-17,8.530415134749209
ALD_Al2O3_Si_00761,Al2O3,Si(100),ALD,285.4,5.8,0.74,1.11,99.9,2.0,1.9222683061427797e-17,1.92e-17,9.806097579898253
ALD_Al2O3_Si_00762,Al2O3,Si(100),ALD,251.9,8.7,0.94,1.1,99.9,1.9,1.182020255371587e-17,1.18e-17,8.233288609927824
ALD_Al2O3_Si_00763,Al2O3,Si(100),ALD,264.1,9.4,0.84,1.14,99.9,2.0,1.2611618549810028e-17,1.26e-17,8.462494595167625
ALD_Al2O3_Si_00764,Al2O3,Si(100),ALD,292.0,5.1,0.52,1.12,99.9,2.0,9.507235164984349e-18,9.51e-18,5.780988933733828
ALD_Al2O3_Si_00765,Al2O3,Si(100),ALD,339.1,2.5,0.48,1.18,99.9,2.0,1.3352418997916416e-17,1.34e-17,6.582243475019682
ALD_Al2O3_Si_00766,Al2O3,Si(100),ALD,333.2,6.6,0.33,1.14,99.9,2.0,1.0679193060521636e-17,1.07e-17,4.880895807063665
ALD_Al2O3_Si_00767,Al2O3,Si(100),ALD,306.3,3.5,0.71,1.14,99.9,2.0,1.9038814547501624e-17,1.9e-17,9.559220381505428
ALD_Al2O3_Si_00768,Al2O3,Si(100),ALD,277.4,1.4,0.31,1.12,99.9,2.0,3.8046464940396114e-18,3.8e-18,2.823653164414746
ALD_Al2O3_Si_00769,Al2O3,Si(100),ALD,312.9,2.1,0.84,1.15,99.9,2.0,1.822472767924165e-17,1.82e-17,10.0
ALD_Al2O3_Si_00770,Al2O3,Si(100),ALD,314.7,8.6,0.84,1.18,99.9,2.0,3.2318842184768236e-17,3.23e-17,10.0
ALD_Al2O3_Si_00771,Al2O3,Si(100),ALD,282.8,3.0,0.23,1.1,99.9,2.0,4.036628343117046e-18,4.04e-18,2.5052244905154475
ALD_Al2O3_Si_00772,Al2O3,Si(100),ALD,189.6,5.9,0.62,1.01,99.9,0.72,4.509211742325896e-18,4.51e-18,1.56502762588235
ALD_Al2O3_Si_00773,Al2O3,Si(100),ALD,216.5,7.8,0.87,1.07,99.9,0.77,1.0776097005414237e-17,1.08e-17,3.0649574513693008
ALD_Al2O3_Si_00774,Al2O3,Si(100),ALD,206.9,3.7,0.79,1.06,99.9,0.42,5.36353312510418e-18,5.36e-18,1.1239103534035135
ALD_Al2O3_Si_00775,Al2O3,Si(100),ALD,274.3,8.7,0.11,1.09,99.9,2.0,1.7426671199587887e-18,1.74e-18,1.1383528760456292
ALD_Al2O3_Si_00776,Al2O3,Si(100),ALD,245.8,9.6,0.94,1.07,99.9,1.46,1.4008444170193104e-17,1.4e-17,6.887396517823808
ALD_Al2O3_Si_00777,Al2O3,Si(100),ALD,208.3,2.3,0.47,1.02,99.9,0.55,5.418869234684999e-18,5.42e-18,1.1410621672441272
ALD_Al2O3_Si_00778,Al2O3,Si(100),ALD,216.6,3.9,0.7,1.05,99.9,0.42,2.98687796441394e-18,2.99e-18,0.7894968510814074
ALD_Al2O3_Si_00779,Al2O3,Si(100),ALD,263.8,6.8,0.9,1.11,99.9,2.0,1.0052519913239169e-17,1.01e-17,7.820455942727834
ALD_Al2O3_Si_00780,Al2O3,Si(100),ALD,288.3,7.8,0.7,1.13,99.9,2.0,9.218060029757155e-18,9.22e-18,6.60453329621487
ALD_Al2O3_Si_00781,Al2O3,Si(100),ALD,273.2,5.6,0.96,1.12,99.9,2.0,1.4268794072887637e-17,1.43e-17,9.622825261606469
ALD_Al2O3_Si_00782,Al2O3,Si(100),ALD,311.3,6.1,0.92,1.14,99.9,2.0,1.5604834163041803e-17,1.56e-17,9.851374758214693
ALD_Al2O3_Si_00783,Al2O3,Si(100),ALD,264.6,9.1,0.34,1.09,99.9,2.0,5.7851862364356546e-18,5.79e-18,3.6464602076292714
ALD_Al2O3_Si_00784,Al2O3,Si(100),ALD,260.1,5.2,0.86,1.11,99.9,2.0,1.2186088678624889e-17,1.22e-17,8.416949871660972
ALD_Al2O3_Si_00785,Al2O3,Si(100),ALD,177.2,3.2,0.51,1.01,99.9,0.84,3.897360456167912e-18,3.9e-18,1.539547219117343
ALD_Al2O3_Si_00786,Al2O3,Si(100),ALD,258.4,9.0,0.69,1.11,99.9,2.0,1.2129778597653437e-17,1.21e-17,7.521844141624758
ALD_Al2O3_Si_00787,Al2O3,Si(100),ALD,267.0,0.9,0.26,1.09,99.9,2.0,4.602735233900124e-18,4.6e-18,2.844251649749519
ALD_Al2O3_Si_00788,Al2O3,Si(100),ALD,167.1,3.1,0.94,1.02,99.9,1.0,4.4943956341601155e-18,4.49e-18,2.6720398396032126
ALD_Al2O3_Si_00789,Al2O3,Si(100),ALD,234.1,5.9,0.72,1.07,99.9,0.98,7.738580984664225e-18,7.74e-18,3.007227901338824
ALD_Al2O3_Si_00790,Al2O3,Si(100),ALD,342.4,7.0,0.19,1.13,99.9,2.0,5.1768035530728776e-18,5.18e-18,2.5785822623230006
ALD_Al2O3_Si_00791,Al2O3,Si(100),ALD,198.5,6.9,0.11,1.01,98.7,0.48,5.443652313806275e-19,5.44e-19,0.3
ALD_Al2O3_Si_00792,Al2O3,Si(100),ALD,283.2,6.1,0.44,1.11,99.9,2.0,9.855813294172565e-18,9.86e-18,5.414344933801953
ALD_Al2O3_Si_00793,Al2O3,Si(100),ALD,218.4,7.0,0.52,1.05,99.9,0.72,4.4983624919594694e-18,4.5e-18,1.4315441455271214
ALD_Al2O3_Si_00794,Al2O3,Si(100),ALD,260.5,7.9,0.22,1.05,99.9,2.0,1.9249963238191118e-18,1.92e-18,1.6919972023569612
ALD_Al2O3_Si_00795,Al2O3,Si(100),ALD,283.8,5.9,0.43,1.09,99.9,2.0,8.703764938840674e-18,8.7e-18,5.029920866596419
ALD_Al2O3_Si_00796,Al2O3,Si(100),ALD,209.9,7.6,0.3,1.04,98.8,0.49,2.2685350050289738e-18,2.27e-18,0.5255000990834164
ALD_Al2O3_Si_00797,Al2O3,Si(100),ALD,278.7,0.6,0.13,1.08,99.9,2.0,1.1173468208187853e-18,1.12e-18,0.9909209787543851
ALD_Al2O3_Si_00798,Al2O3,Si(100),ALD,268.8,2.4,0.7,1.11,99.9,2.0,6.854834843126371e-18,6.85e-18,5.695355869274016
ALD_Al2O3_Si_00799,Al2O3,Si(100),ALD,245.7,8.3,0.65,1.08,99.9,1.5,6.1691221914985075e-18,6.17e-18,3.904837594134038
ALD_Al2O3_Si_00800,Al2O3,Si(100),ALD,179.3,4.7,0.48,1.0,99.9,0.65,3.0884305374513735e-18,3.09e-18,1.0288362235855542
ALD_Al2O3_Si_00801,Al2O3,Si(100),ALD,256.3,6.8,0.94,1.12,99.9,1.99,1.538643473833057e-17,1.54e-17,9.838510536725455
ALD_Al2O3_Si_00802,Al2O3,Si(100),ALD,342.9,5.3,0.98,1.18,99.9,2.0,3.8032242902799923e-17,3.8e-17,10.0
ALD_Al2O3_Si_00803,Al2O3,Si(100),ALD,324.4,0.3,0.78,1.17,99.9,2.0,2.4087904142666888e-17,2.41e-17,10.0
ALD_Al2O3_Si_00804,Al2O3,Si(100),ALD,246.6,5.7,0.17,1.05,99.9,1.55,2.0089087988366335e-18,2.01e-18,1.177550718108821
ALD_Al2O3_Si_00805,Al2O3,Si(100),ALD,286.6,8.7,0.67,1.11,99.9,2.0,1.9681233614402458e-17,1.97e-17,9.441411085550275
ALD_Al2O3_Si_00806,Al2O3,Si(100),ALD,274.6,8.0,0.26,1.08,99.9,2.0,4.9987832954293e-18,5e-18,2.9640953965833385
ALD_Al2O3_Si_00807,Al2O3,Si(100),ALD,253.7,7.5,0.07,1.06,99.9,1.95,9.123268796590554e-19,9.12e-19,0.6406225457760529
ALD_Al2O3_Si_00808,Al2O3,Si(100),ALD,282.6,1.6,0.69,1.11,99.9,2.0,1.3739220646933944e-17,1.37e-17,8.005324527185559
ALD_Al2O3_Si_00809,Al2O3,Si(100),ALD,334.8,0.3,0.95,1.2,99.9,2.0,2.401531193771589e-17,2.4e-17,10.0
ALD_Al2O3_Si_00810,Al2O3,Si(100),ALD,180.2,7.8,0.55,0.99,97.8,0.87,3.249462814632345e-18,3.25e-18,1.5119928428684306
ALD_Al2O3_Si_00811,Al2O3,Si(100),ALD,320.2,6.4,0.05,1.12,99.9,2.0,6.728362641944546e-19,6.73e-19,0.47688432276362963
ALD_Al2O3_Si_00812,Al2O3,Si(100),ALD,166.3,8.1,0.6,0.99,95.9,0.97,2.8128307096083543e-18,2.81e-18,1.6381833561832713
ALD_Al2O3_Si_00813,Al2O3,Si(100),ALD,184.0,0.6,0.13,1.01,99.9,0.4,1.3739211369694425e-18,1.37e-18,0.3
ALD_Al2O3_Si_00814,Al2O3,Si(100),ALD,191.0,4.5,0.79,1.03,99.9,0.54,5.589652039002416e-18,5.59e-18,1.4751733043641186
ALD_Al2O3_Si_00815,Al2O3,Si(100),ALD,192.2,2.3,0.44,1.03,99.9,0.61,3.0951932748507125e-18,3.1e-18,0.9254296548665935
ALD_Al2O3_Si_00816,Al2O3,Si(100),ALD,292.8,8.1,0.3,1.09,99.9,2.0,7.526626005431575e-18,7.53e-18,3.9069166281116408
ALD_Al2O3_Si_00817,Al2O3,Si(100),ALD,201.5,3.8,0.71,1.04,99.9,0.62,5.965652288938343e-18,5.97e-18,1.6587967832641504
ALD_Al2O3_Si_00818,Al2O3,Si(100),ALD,345.6,8.6,0.61,1.19,99.9,2.0,1.5210000491754338e-17,1.52e-17,7.919593299393485
ALD_Al2O3_Si_00819,Al2O3,Si(100),ALD,176.9,6.4,0.69,1.01,98.4,0.91,4.097138976665319e-18,4.1e-18,1.9890680333329263
ALD_Al2O3_Si_00820,Al2O3,Si(100),ALD,316.7,3.7,0.25,1.15,99.9,2.0,4.179701246336542e-18,4.18e-18,2.657761295961087
ALD_Al2O3_Si_00821,Al2O3,Si(100),ALD,173.9,5.7,0.18,0.97,96.9,0.81,1.0612612661229983e-18,1.06e-18,0.4602309070250971
ALD_Al2O3_Si_00822,Al2O3,Si(100),ALD,162.3,3.3,0.4,1.0,99.9,1.22,1.5754930345889616e-18,1.58e-18,1.259045491987154
ALD_Al2O3_Si_00823,Al2O3,Si(100),ALD,224.3,4.6,0.41,1.08,99.9,0.73,5.0517478962578194e-18,5.05e-18,1.3657744231454374
ALD_Al2O3_Si_00824,Al2O3,Si(100),ALD,291.4,5.4,0.12,1.09,99.9,2.0,1.885643026866111e-18,1.89e-18,1.236783579852914
ALD_Al2O3_Si_00825,Al2O3,Si(100),ALD,190.2,3.2,0.78,1.02,99.9,0.56,4.056900584551253e-18,4.06e-18,1.2950181742099967
ALD_Al2O3_Si_00826,Al2O3,Si(100),ALD,162.0,6.6,0.99,1.03,96.6,1.22,4.857736835758388e-18,4.86e-18,3.4780656244041905
ALD_Al2O3_Si_00827,Al2O3,Si(100),ALD,188.1,2.8,0.98,1.06,99.9,0.68,7.165900379755872e-18,7.17e-18,2.3426137390144484
ALD_Al2O3_Si_00828,Al2O3,Si(100),ALD,234.2,0.6,0.08,1.03,99.9,1.06,6.048101691032754e-19,6.05e-19,0.30311243500028223
ALD_Al2O3_Si_00829,Al2O3,Si(100),ALD,266.6,9.2,0.91,1.11,99.9,2.0,1.1194713207030125e-17,1.12e-17,8.298517805268993
ALD_Al2O3_Si_00830,Al2O3,Si(100),ALD,158.8,0.7,0.09,0.96,99.9,1.28,4.492246168711604e-19,4.49e-19,0.3345849100423508
ALD_Al2O3_Si_00831,Al2O3,Si(100),ALD,315.1,9.7,0.44,1.12,99.9,2.0,1.5487833325095325e-17,1.55e-17,6.787268334327407
ALD_Al2O3_Si_00832,Al2O3,Si(100),ALD,268.2,8.4,0.58,1.08,99.9,2.0,3.988476906141639e-18,3.99e-18,3.954493678538396
ALD_Al2O3_Si_00833,Al2O3,Si(100),ALD,201.4,7.8,0.27,1.0,97.4,0.49,2.4012074273889365e-18,2.4e-18,0.5129040796124836
ALD_Al2O3_Si_00834,Al2O3,Si(100),ALD,284.4,5.2,0.54,1.1,99.9,2.0,8.319079526502465e-18,8.32e-18,5.510713919588332
ALD_Al2O3_Si_00835,Al2O3,Si(100),ALD,152.6,6.2,0.14,0.96,99.3,1.65,5.361448937301307e-19,5.36e-19,0.5876684850784959
ALD_Al2O3_Si_00836,Al2O3,Si(100),ALD,245.0,2.9,0.33,1.06,99.9,1.51,3.1115910513802763e-18,3.11e-18,1.989154545117557
ALD_Al2O3_Si_00837,Al2O3,Si(100),ALD,274.7,6.9,0.75,1.14,99.9,2.0,1.0526324564457509e-17,1.05e-17,7.3053723753002195
ALD_Al2O3_Si_00838,Al2O3,Si(100),ALD,279.0,4.6,0.75,1.1,99.9,2.0,1.4739584868078693e-17,1.47e-17,8.644633900932934
ALD_Al2O3_Si_00839,Al2O3,Si(100),ALD,250.8,3.4,0.25,1.08,99.9,1.72,2.6548768325950855e-18,2.65e-18,1.8216460331536914
ALD_Al2O3_Si_00840,Al2O3,Si(100),ALD,172.0,9.6,0.27,0.98,94.0,0.88,2.466303271009424e-18,2.47e-18,0.9335361626502228
ALD_Al2O3_Si_00841,Al2O3,Si(100),ALD,293.7,6.1,0.48,1.12,99.9,2.0,1.0861922772772582e-17,1.09e-17,5.936730330164281
ALD_Al2O3_Si_00842,Al2O3,Si(100),ALD,332.6,0.5,0.37,1.16,99.9,2.0,1.1033049711674875e-17,1.1e-17,5.253176556983517
ALD_Al2O3_Si_00843,Al2O3,Si(100),ALD,183.7,8.7,0.59,1.0,94.6,0.65,3.514562029466862e-18,3.51e-18,1.2167975346470525
ALD_Al2O3_Si_00844,Al2O3,Si(100),ALD,257.1,8.4,0.09,1.07,99.9,2.0,1.61793790200255e-18,1.62e-18,0.992145866079354
ALD_Al2O3_Si_00845,Al2O3,Si(100),ALD,349.2,8.9,0.3,1.17,99.9,2.0,1.4582254171566598e-17,1.46e-17,5.438088952926115
ALD_Al2O3_Si_00846,Al2O3,Si(100),ALD,248.9,1.0,0.89,1.1,99.9,1.76,7.589184208762059e-18,7.59e-18,5.946324020881539
ALD_Al2O3_Si_00847,Al2O3,Si(100),ALD,275.1,1.5,0.46,1.1,99.9,2.0,5.865969008818655e-18,5.87e-18,4.270926975472946
ALD_Al2O3_Si_00848,Al2O3,Si(100),ALD,205.6,3.6,0.2,1.05,99.9,0.44,1.9149952354308737e-18,1.91e-18,0.35399316408914316
ALD_Al2O3_Si_00849,Al2O3,Si(100),ALD,185.8,4.2,0.57,1.0,99.9,0.51,4.879869590634564e-18,4.88e-18,1.105745203819043
ALD_Al2O3_Si_00850,Al2O3,Si(100),ALD,268.9,7.0,0.57,1.09,99.9,2.0,7.710735708729453e-18,7.71e-18,5.450780387511161
ALD_Al2O3_Si_00851,Al2O3,Si(100),ALD,232.7,7.2,0.28,1.04,99.9,0.93,2.3049620256217047e-18,2.3e-18,0.9712638032997899
ALD_Al2O3_Si_00852,Al2O3,Si(100),ALD,254.9,0.7,0.79,1.09,99.9,1.98,1.039787026872054e-17,1.04e-17,7.3772463381706315
ALD_Al2O3_Si_00853,Al2O3,Si(100),ALD,334.5,6.3,0.27,1.14,99.9,2.0,1.1762584881247562e-17,1.18e-17,4.633472771610194
ALD_Al2O3_Si_00854,Al2O3,Si(100),ALD,259.2,4.7,0.82,1.12,99.9,2.0,1.1119613234182176e-17,1.11e-17,7.851002488836609
ALD_Al2O3_Si_00855,Al2O3,Si(100),ALD,224.4,6.5,0.42,1.07,99.9,0.78,2.7146597721415587e-18,2.71e-18,1.0827303330064608
ALD_Al2O3_Si_00856,Al2O3,Si(100),ALD,278.9,8.7,0.64,1.1,99.9,2.0,1.0740169092859212e-17,1.07e-17,6.816617017505538
ALD_Al2O3_Si_00857,Al2O3,Si(100),ALD,199.5,9.9,0.49,1.01,96.5,0.53,4.576443131870327e-18,4.58e-18,1.0317662009400486
ALD_Al2O3_Si_00858,Al2O3,Si(100),ALD,298.8,6.9,0.05,1.11,99.9,2.0,1.0584526504996204e-18,1.06e-18,0.5981279092876971
ALD_Al2O3_Si_00859,Al2O3,Si(100),ALD,209.8,3.3,0.21,1.01,99.9,0.54,2.5360320986732947e-18,2.54e-18,0.5122997365746588
ALD_Al2O3_Si_00860,Al2O3,Si(100),ALD,164.1,2.8,0.13,0.98,99.9,1.14,8.605860843719869e-19,8.61e-19,0.4956978547990586
ALD_Al2O3_Si_00861,Al2O3,Si(100),ALD,291.7,8.6,0.45,1.12,99.9,2.0,8.195791048889068e-18,8.2e-18,4.9931549516033
ALD_Al2O3_Si_00862,Al2O3,Si(100),ALD,241.5,8.3,0.38,1.04,98.7,1.37,4.2962008400298366e-18,4.3e-18,2.2756109014596313
ALD_Al2O3_Si_00863,Al2O3,Si(100),ALD,281.7,0.5,0.12,1.11,99.9,2.0,1.183292650971997e-18,1.18e-18,0.9797382295636339
ALD_Al2O3_Si_00864,Al2O3,Si(100),ALD,270.8,8.8,0.66,1.13,99.9,2.0,1.416262756869324e-17,1.42e-17,7.949086687191288
ALD_Al2O3_Si_00865,Al2O3,Si(100),ALD,314.0,8.6,0.72,1.14,99.9,2.0,1.5071338324218006e-17,1.51e-17,8.56476607337491
ALD_Al2O3_Si_00866,Al2O3,Si(100),ALD,337.7,7.2,0.28,1.15,99.9,2.0,7.224211983595293e-18,7.22e-18,3.6978356429875534
ALD_Al2O3_Si_00867,Al2O3,Si(100),ALD,326.0,8.5,0.46,1.15,99.9,2.0,1.0264483743229325e-17,1.03e-17,5.649640576881499
ALD_Al2O3_Si_00868,Al2O3,Si(100),ALD,332.8,5.8,0.13,1.14,99.9,2.0,4.1865982317617156e-18,4.19e-18,1.918119528619683
ALD_Al2O3_Si_00869,Al2O3,Si(100),ALD,259.6,4.7,0.11,1.08,99.9,2.0,1.0884310207159209e-18,1.09e-18,0.8996428774821478
ALD_Al2O3_Si_00870,Al2O3,Si(100),ALD,289.7,1.8,0.27,1.13,99.9,2.0,3.5980309268351154e-18,3.6e-18,2.562640444475084
ALD_Al2O3_Si_00871,Al2O3,Si(100),ALD,316.7,8.4,0.76,1.15,99.9,2.0,1.7689979421340372e-17,1.77e-17,9.5333120307204
ALD_Al2O3_Si_00872,Al2O3,Si(100),ALD,343.0,3.9,0.66,1.16,99.9,2.0,1.6991269133134346e-17,1.7e-17,8.706793115975147
ALD_Al2O3_Si_00873,Al2O3,Si(100),ALD,304.7,6.0,0.24,1.1,99.9,2.0,5.568569777230216e-18,5.57e-18,3.0057357845589663
ALD_Al2O3_Si_00874,Al2O3,Si(100),ALD,279.9,5.3,0.43,1.09,99.9,2.0,5.98305149022427e-18,5.98e-18,4.170315823985506
ALD_Al2O3_Si_00875,Al2O3,Si(100),ALD,258.1,8.2,0.98,1.11,99.9,2.0,2.088057807205856e-17,2.09e-17,10.0
ALD_Al2O3_Si_00876,Al2O3,Si(100),ALD,208.6,3.0,0.21,1.05,99.9,0.54,2.1109674890847672e-18,2.11e-18,0.46739873419072847
ALD_Al2O3_Si_00877,Al2O3,Si(100),ALD,215.0,7.1,0.71,1.04,99.9,0.6,7.502399403306019e-18,7.5e-18,1.8002128918129878
ALD_Al2O3_Si_00878,Al2O3,Si(100),ALD,340.2,5.4,0.85,1.19,99.9,2.0,2.1172673972806506e-17,2.12e-17,10.0
ALD_Al2O3_Si_00879,Al2O3,Si(100),ALD,291.8,5.2,0.23,1.1,99.9,2.0,8.676801288628469e-18,8.68e-18,3.672967552750711
ALD_Al2O3_Si_00880,Al2O3,Si(100),ALD,190.5,3.4,0.3,1.02,99.9,0.6,1.7625391177680976e-18,1.76e-18,0.5671848373987384
ALD_Al2O3_Si_00881,Al2O3,Si(100),ALD,349.8,7.1,0.86,1.22,99.9,2.0,2.28812120008138e-17,2.29e-17,10.0
