id,material,substrate,process,T_C,P_Torr,t_pulse_s,GPC_A_per_cycle,Uniformity_pct,Interdiffusion_Width_nm,Diffusivity_cm2_per_s,Diffusivity_cm2_per_s_str
ALD_Al2O3_Si_01381,Al2O3,Si(100),ALD,331.3,7.7,0.11,1.15,99.9,2,2.5012998479824155e-18,2.50e-18
ALD_Al2O3_Si_01382,Al2O3,Si(100),ALD,263.7,1.3,0.5,1.08,99.9,2,5.015722931087693e-18,5.02e-18
ALD_Al2O3_Si_01383,Al2O3,Si(100),ALD,202.2,6.8,0.36,1.05,97.3,0.67,1.5486217619063816e-18,1.55e-18
ALD_Al2O3_Si_01384,Al2O3,Si(100),ALD,157.1,9.8,0.08,0.95,94,1.52,3.745099498578014e-19,3.75e-19
ALD_Al2O3_Si_01385,Al2O3,Si(100),ALD,190.8,2.1,0.58,1.03,99.9,0.56,2.6064275903433055e-18,2.61e-18
ALD_Al2O3_Si_01386,Al2O3,Si(100),ALD,239,9.9,0.61,1.07,98.8,1.31,8.192202044799168e-18,8.19e-18
ALD_Al2O3_Si_01387,Al2O3,Si(100),ALD,234.5,2.4,0.83,1.1,99.9,1.13,8.72273461301306e-18,8.72e-18
ALD_Al2O3_Si_01388,Al2O3,Si(100),ALD,167.1,4.7,0.68,1.02,99.9,1.15,5.762488580470923e-18,5.76e-18
ALD_Al2O3_Si_01389,Al2O3,Si(100),ALD,182.7,0.9,0.8,1.02,99.9,0.61,5.349535459545841e-18,5.35e-18
ALD_Al2O3_Si_01390,Al2O3,Si(100),ALD,338.7,4.5,0.16,1.14,99.9,2,3.9116166610346075e-18,3.91e-18
ALD_Al2O3_Si_01391,Al2O3,Si(100),ALD,163,2.5,0.93,1.02,99.6,1.27,2.7003166830452917e-18,2.70e-18
ALD_Al2O3_Si_01392,Al2O3,Si(100),ALD,154.6,0.2,0.35,0.96,99.9,1.63,2.0833723134319523e-18,2.08e-18
ALD_Al2O3_Si_01393,Al2O3,Si(100),ALD,336.4,1.5,0.19,1.18,99.9,2,3.811336610881955e-18,3.81e-18
ALD_Al2O3_Si_01394,Al2O3,Si(100),ALD,321,6.8,0.84,1.17,99.9,2,1.84026961974027e-17,1.84e-17
ALD_Al2O3_Si_01395,Al2O3,Si(100),ALD,327.1,1.9,0.32,1.14,99.9,2,1.4114928930246554e-17,1.41e-17
ALD_Al2O3_Si_01396,Al2O3,Si(100),ALD,321.8,3.4,0.89,1.17,99.9,2,2.6612162436384702e-17,2.66e-17
ALD_Al2O3_Si_01397,Al2O3,Si(100),ALD,345.1,1.4,0.85,1.17,99.9,2,3.014332586678881e-17,3.01e-17
ALD_Al2O3_Si_01398,Al2O3,Si(100),ALD,189.7,4.1,0.57,1,99.9,0.39,5.021320634012411e-18,5.02e-18
ALD_Al2O3_Si_01399,Al2O3,Si(100),ALD,299.3,7.5,0.77,1.16,99.9,2,2.0208515117239863e-17,2.02e-17
ALD_Al2O3_Si_01400,Al2O3,Si(100),ALD,190.1,0.9,0.67,1.01,99.9,0.6,7.20302057110896e-18,7.20e-18
ALD_Al2O3_Si_01401,Al2O3,Si(100),ALD,310.7,2.1,0.59,1.12,99.9,2,1.1095868623560914e-17,1.11e-17
ALD_Al2O3_Si_01402,Al2O3,Si(100),ALD,340.7,5.7,0.5,1.17,99.9,2,1.3553873845039996e-17,1.36e-17
ALD_Al2O3_Si_01403,Al2O3,Si(100),ALD,177.4,4.9,0.77,1.03,99.1,0.77,3.458201128126626e-18,3.46e-18
ALD_Al2O3_Si_01404,Al2O3,Si(100),ALD,263.3,3.9,0.47,1.1,99.9,2,6.539779202500613e-18,6.54e-18
ALD_Al2O3_Si_01405,Al2O3,Si(100),ALD,195.5,0.8,0.91,1.06,99.9,0.46,6.202436600703021e-18,6.20e-18
ALD_Al2O3_Si_01406,Al2O3,Si(100),ALD,326.9,6.2,0.64,1.15,99.9,2,9.957822620866394e-18,9.96e-18
ALD_Al2O3_Si_01407,Al2O3,Si(100),ALD,159.2,3.4,0.43,0.96,99.1,1.35,1.720765114767299e-18,1.72e-18
ALD_Al2O3_Si_01408,Al2O3,Si(100),ALD,306.5,0.5,0.37,1.15,99.9,2,1.2055985225152305e-17,1.21e-17
ALD_Al2O3_Si_01409,Al2O3,Si(100),ALD,289.6,9.2,0.69,1.12,99.9,2,1.3488767738620637e-17,1.35e-17
ALD_Al2O3_Si_01410,Al2O3,Si(100),ALD,153.6,3.9,0.13,0.96,99.9,1.54,7.577454914706638e-19,7.58e-19
ALD_Al2O3_Si_01411,Al2O3,Si(100),ALD,349.7,9.6,0.69,1.2,99.9,2,2.1910978757748026e-17,2.19e-17
ALD_Al2O3_Si_01412,Al2O3,Si(100),ALD,291.5,4.4,0.19,1.11,99.9,2,2.034340898105371e-18,2.03e-18
ALD_Al2O3_Si_01413,Al2O3,Si(100),ALD,309.5,1.6,0.89,1.16,99.9,2,1.8852798875428664e-17,1.89e-17
ALD_Al2O3_Si_01414,Al2O3,Si(100),ALD,299.1,5.1,0.82,1.17,99.9,2,2.2252733884812374e-17,2.23e-17
ALD_Al2O3_Si_01415,Al2O3,Si(100),ALD,180,5.9,0.58,1,99.3,0.62,2.4557905710666113e-18,2.46e-18
ALD_Al2O3_Si_01416,Al2O3,Si(100),ALD,338.4,1.5,0.65,1.18,99.9,2,2.387810083746471e-17,2.39e-17
ALD_Al2O3_Si_01417,Al2O3,Si(100),ALD,209.5,4.3,0.65,1.04,99.9,0.56,3.1874106753563278e-18,3.19e-18
ALD_Al2O3_Si_01418,Al2O3,Si(100),ALD,162.9,6,0.2,0.98,96.6,1.31,1.0341492368743158e-18,1.03e-18
ALD_Al2O3_Si_01419,Al2O3,Si(100),ALD,222.9,2.7,0.49,1.07,99.9,0.89,5.390025560877671e-18,5.39e-18
ALD_Al2O3_Si_01420,Al2O3,Si(100),ALD,251.1,5.5,0.23,1.07,99.9,1.62,2.5295019413093385e-18,2.53e-18
ALD_Al2O3_Si_01421,Al2O3,Si(100),ALD,329.9,0.3,0.76,1.18,99.9,2,4.328540750720001e-17,4.33e-17
ALD_Al2O3_Si_01422,Al2O3,Si(100),ALD,288.9,5.8,0.86,1.15,99.9,2,1.337760247202826e-17,1.34e-17
ALD_Al2O3_Si_01423,Al2O3,Si(100),ALD,257.2,9.5,0.06,1.05,99.9,2,6.101032661151411e-19,6.10e-19
ALD_Al2O3_Si_01424,Al2O3,Si(100),ALD,209.8,8.8,0.16,1,97.2,0.64,1.3430935578929473e-18,1.34e-18
ALD_Al2O3_Si_01425,Al2O3,Si(100),ALD,308.9,3.1,0.3,1.11,99.9,2,5.222396340206894e-18,5.22e-18
ALD_Al2O3_Si_01426,Al2O3,Si(100),ALD,285.1,4.5,0.35,1.07,99.9,2,3.931073422497245e-18,3.93e-18
ALD_Al2O3_Si_01427,Al2O3,Si(100),ALD,158,5.4,0.6,1.02,94,1.39,2.0799255673823352e-18,2.08e-18
ALD_Al2O3_Si_01428,Al2O3,Si(100),ALD,252.8,3.9,0.91,1.08,99.9,1.83,1.4256829702033946e-17,1.43e-17
ALD_Al2O3_Si_01429,Al2O3,Si(100),ALD,193.8,1.8,0.85,1.03,99.9,0.56,5.3660777572823086e-18,5.37e-18
ALD_Al2O3_Si_01430,Al2O3,Si(100),ALD,292.6,5.9,0.84,1.13,99.9,2,2.616122397978802e-17,2.62e-17
ALD_Al2O3_Si_01431,Al2O3,Si(100),ALD,168.5,2.6,0.24,0.99,99.9,1.07,1.1275957159955005e-18,1.13e-18
ALD_Al2O3_Si_01432,Al2O3,Si(100),ALD,155.3,9.9,0.8,1.01,94,1.5,4.708316544523465e-18,4.71e-18
ALD_Al2O3_Si_01433,Al2O3,Si(100),ALD,250.8,3.6,0.32,1.08,99.9,1.72,4.63303434651264e-18,4.63e-18
ALD_Al2O3_Si_01434,Al2O3,Si(100),ALD,157.4,7,0.46,0.97,95.9,1.29,1.9178461334947107e-18,1.92e-18
ALD_Al2O3_Si_01435,Al2O3,Si(100),ALD,325.9,0.4,0.97,1.17,99.9,2,1.9355399984215554e-17,1.94e-17
ALD_Al2O3_Si_01436,Al2O3,Si(100),ALD,160.7,1.7,0.34,0.98,99.9,1.38,1.00463377623065e-18,1.00e-18
ALD_Al2O3_Si_01437,Al2O3,Si(100),ALD,253.5,9.7,0.65,1.08,99.9,1.9,9.654821659112784e-18,9.65e-18
ALD_Al2O3_Si_01438,Al2O3,Si(100),ALD,223.8,0.5,0.21,1.06,99.9,0.81,2.7749265288844613e-18,2.77e-18
ALD_Al2O3_Si_01439,Al2O3,Si(100),ALD,284.9,8.3,0.62,1.12,99.9,2,6.660954103122906e-18,6.66e-18
ALD_Al2O3_Si_01440,Al2O3,Si(100),ALD,216.2,0.3,0.9,1.07,99.9,0.59,6.958109697785899e-18,6.96e-18
ALD_Al2O3_Si_01441,Al2O3,Si(100),ALD,248.9,6.7,0.3,1.07,99.9,1.65,2.9570557360752225e-18,2.96e-18
ALD_Al2O3_Si_01442,Al2O3,Si(100),ALD,284.2,9.7,0.38,1.12,99.9,2,7.603678544211886e-18,7.60e-18
ALD_Al2O3_Si_01443,Al2O3,Si(100),ALD,337.1,4.2,0.19,1.15,99.9,2,4.905005093702443e-18,4.91e-18
ALD_Al2O3_Si_01444,Al2O3,Si(100),ALD,221.7,8.2,0.39,1.02,99.9,0.89,5.287938453639674e-18,5.29e-18
ALD_Al2O3_Si_01445,Al2O3,Si(100),ALD,234.3,4.2,0.07,1.04,99.9,1.21,6.2441527788236775e-19,6.24e-19
ALD_Al2O3_Si_01446,Al2O3,Si(100),ALD,301.5,8.3,0.37,1.11,99.9,2,5.1610087024483194e-18,5.16e-18
ALD_Al2O3_Si_01447,Al2O3,Si(100),ALD,236.6,7,0.96,1.08,99.9,1.29,8.926216020298862e-18,8.93e-18
ALD_Al2O3_Si_01448,Al2O3,Si(100),ALD,160.3,1.1,0.78,1.01,99.9,1.27,3.4796627134211085e-18,3.48e-18
ALD_Al2O3_Si_01449,Al2O3,Si(100),ALD,241.5,5.9,0.27,1.07,99.9,1.39,3.510030061815602e-18,3.51e-18
ALD_Al2O3_Si_01450,Al2O3,Si(100),ALD,268.7,9.7,0.59,1.1,98.7,2,7.78060195533325e-18,7.78e-18
ALD_Al2O3_Si_01451,Al2O3,Si(100),ALD,183.5,3.2,0.91,1.03,99.9,0.54,6.494248557865814e-18,6.49e-18
ALD_Al2O3_Si_01452,Al2O3,Si(100),ALD,160.7,3.3,0.72,1.02,99.3,1.37,2.815446327731384e-18,2.82e-18
ALD_Al2O3_Si_01453,Al2O3,Si(100),ALD,319.5,8.2,0.41,1.14,99.9,2,9.236584220350693e-18,9.24e-18
ALD_Al2O3_Si_01454,Al2O3,Si(100),ALD,274,8,0.29,1.13,99.9,2,3.582822238462363e-18,3.58e-18
ALD_Al2O3_Si_01455,Al2O3,Si(100),ALD,283.4,2.9,0.47,1.12,99.9,2,6.243756868710729e-18,6.24e-18
ALD_Al2O3_Si_01456,Al2O3,Si(100),ALD,275.4,3.7,0.05,1.05,99.9,2,1.2500832674982406e-18,1.25e-18
ALD_Al2O3_Si_01457,Al2O3,Si(100),ALD,321.9,4.7,0.1,1.14,99.9,2,1.9238556424673296e-18,1.92e-18
ALD_Al2O3_Si_01458,Al2O3,Si(100),ALD,318.1,9.9,0.72,1.16,99.9,2,1.5574215102398572e-17,1.56e-17
ALD_Al2O3_Si_01459,Al2O3,Si(100),ALD,285.5,8.3,0.18,1.11,99.9,2,4.362271714858075e-18,4.36e-18
ALD_Al2O3_Si_01460,Al2O3,Si(100),ALD,265.6,8.9,0.87,1.12,99.9,2,1.5563931158831374e-17,1.56e-17
ALD_Al2O3_Si_01461,Al2O3,Si(100),ALD,192.3,0.8,0.07,0.99,99.9,0.52,7.332754757571396e-19,7.33e-19
ALD_Al2O3_Si_01462,Al2O3,Si(100),ALD,258.7,4.6,0.93,1.09,99.9,2,1.436566791384188e-17,1.44e-17
ALD_Al2O3_Si_01463,Al2O3,Si(100),ALD,273.3,5.8,0.59,1.1,99.9,2,7.5906139835404e-18,7.59e-18
ALD_Al2O3_Si_01464,Al2O3,Si(100),ALD,307.5,2.9,0.59,1.12,99.9,2,2.351978883656174e-17,2.35e-17
ALD_Al2O3_Si_01465,Al2O3,Si(100),ALD,203.2,6,0.42,1.02,99.9,0.5,3.787675323639618e-18,3.79e-18
ALD_Al2O3_Si_01466,Al2O3,Si(100),ALD,207,4.7,0.23,1.03,99.9,0.58,1.7184261846326419e-18,1.72e-18
ALD_Al2O3_Si_01467,Al2O3,Si(100),ALD,234.3,4.8,0.7,1.09,99.9,0.96,7.447410772495424e-18,7.45e-18
ALD_Al2O3_Si_01468,Al2O3,Si(100),ALD,343.7,6,0.14,1.16,99.9,2,4.613284593893133e-18,4.61e-18
ALD_Al2O3_Si_01469,Al2O3,Si(100),ALD,236.3,1.1,0.65,1.05,99.9,1.18,6.45160235925516e-18,6.45e-18
ALD_Al2O3_Si_01470,Al2O3,Si(100),ALD,290.9,2.4,0.33,1.11,99.9,2,4.0465168989788586e-18,4.05e-18
ALD_Al2O3_Si_01471,Al2O3,Si(100),ALD,213.6,3.4,0.09,1.04,99.9,0.71,1.3029308839557298e-18,1.30e-18
ALD_Al2O3_Si_01472,Al2O3,Si(100),ALD,197.1,5.8,0.42,1.01,99.9,0.48,2.9759246217239737e-18,2.98e-18
ALD_Al2O3_Si_01473,Al2O3,Si(100),ALD,165.7,3.8,0.9,1.01,98.6,1.08,5.008163005396877e-18,5.01e-18
ALD_Al2O3_Si_01474,Al2O3,Si(100),ALD,273.8,3.8,0.15,1.08,99.9,2,4.3245867882546186e-18,4.32e-18
ALD_Al2O3_Si_01475,Al2O3,Si(100),ALD,210.6,5.7,0.29,1.01,99.9,0.42,1.949938251544722e-18,1.95e-18
ALD_Al2O3_Si_01476,Al2O3,Si(100),ALD,228.2,9.1,0.82,1.08,99.9,0.99,9.743926241170825e-18,9.74e-18
ALD_Al2O3_Si_01477,Al2O3,Si(100),ALD,313.2,4.1,0.22,1.12,99.9,2,4.0631846958839225e-18,4.06e-18
ALD_Al2O3_Si_01478,Al2O3,Si(100),ALD,246.4,1.4,0.34,1.07,99.9,1.56,4.376171917988644e-18,4.38e-18
ALD_Al2O3_Si_01479,Al2O3,Si(100),ALD,186.2,9,0.46,1,94,0.65,3.147820723774101e-18,3.15e-18
ALD_Al2O3_Si_01480,Al2O3,Si(100),ALD,231,0.8,0.4,1.04,99.9,1.1,5.127407084338526e-18,5.13e-18
ALD_Al2O3_Si_01481,Al2O3,Si(100),ALD,188.3,6.7,0.4,1.02,98.8,0.48,3.755745820125888e-18,3.76e-18
ALD_Al2O3_Si_01482,Al2O3,Si(100),ALD,270.5,1.8,0.51,1.09,99.9,2,6.463772703608804e-18,6.46e-18
ALD_Al2O3_Si_01483,Al2O3,Si(100),ALD,349.4,8.4,0.7,1.21,99.9,2,3.5242189587026035e-17,3.52e-17
ALD_Al2O3_Si_01484,Al2O3,Si(100),ALD,207.2,3.4,0.79,1.04,99.9,0.57,9.811293961857969e-18,9.81e-18
ALD_Al2O3_Si_01485,Al2O3,Si(100),ALD,284.1,4.9,0.33,1.1,99.9,2,5.243564331361193e-18,5.24e-18
ALD_Al2O3_Si_01486,Al2O3,Si(100),ALD,189,4.5,0.49,1.03,99.9,0.48,3.2382659925203502e-18,3.24e-18
ALD_Al2O3_Si_01487,Al2O3,Si(100),ALD,247.5,10,0.93,1.07,95.5,1.61,9.549325306678905e-18,9.55e-18
ALD_Al2O3_Si_01488,Al2O3,Si(100),ALD,213,6.2,0.94,1.03,99.7,0.58,7.234615393060829e-18,7.23e-18
ALD_Al2O3_Si_01489,Al2O3,Si(100),ALD,188.9,1.7,0.86,1.01,99.9,0.49,3.979844054670898e-18,3.98e-18
ALD_Al2O3_Si_01490,Al2O3,Si(100),ALD,304.9,7.1,0.57,1.15,99.9,2,1.505550548647612e-17,1.51e-17
ALD_Al2O3_Si_01491,Al2O3,Si(100),ALD,267.8,1.2,0.52,1.09,99.9,2,4.093700967895336e-18,4.09e-18
ALD_Al2O3_Si_01492,Al2O3,Si(100),ALD,192.5,2,0.78,1.07,99.9,0.64,4.358221668781319e-18,4.36e-18
ALD_Al2O3_Si_01493,Al2O3,Si(100),ALD,302.3,2.2,0.58,1.12,99.9,2,1.1857667739855701e-17,1.19e-17
ALD_Al2O3_Si_01494,Al2O3,Si(100),ALD,303.3,0.6,0.65,1.14,99.9,2,1.9831330768018702e-17,1.98e-17
ALD_Al2O3_Si_01495,Al2O3,Si(100),ALD,328.7,1.1,0.18,1.16,99.9,2,4.1927607478022235e-18,4.19e-18
ALD_Al2O3_Si_01496,Al2O3,Si(100),ALD,171.4,6.6,0.24,1.01,97.4,0.85,1.5272035364733282e-18,1.53e-18
ALD_Al2O3_Si_01497,Al2O3,Si(100),ALD,251.5,5.3,0.4,1.1,99.9,1.93,4.867788105109053e-18,4.87e-18
ALD_Al2O3_Si_01498,Al2O3,Si(100),ALD,160.1,0.6,0.29,0.99,99.9,1.31,1.9286049694383573e-18,1.93e-18
ALD_Al2O3_Si_01499,Al2O3,Si(100),ALD,213.2,2.1,0.52,1.05,99.9,0.66,4.942265713030819e-18,4.94e-18
ALD_Al2O3_Si_01500,Al2O3,Si(100),ALD,255.5,2.3,0.14,1.07,99.9,1.95,2.2375680663493036e-18,2.24e-18
ALD_Al2O3_Si_01501,Al2O3,Si(100),ALD,177.8,1,0.47,1.01,99.9,0.83,2.3393261403505508e-18,2.34e-18
ALD_Al2O3_Si_01502,Al2O3,Si(100),ALD,320.9,0.2,0.44,1.13,99.9,2,8.060878915298052e-18,8.06e-18
ALD_Al2O3_Si_01503,Al2O3,Si(100),ALD,197,9.8,0.33,1,96.8,0.53,2.6704906984078278e-18,2.67e-18
ALD_Al2O3_Si_01504,Al2O3,Si(100),ALD,167.2,9.4,1,1.02,96.4,0.98,4.589627751413965e-18,4.59e-18
ALD_Al2O3_Si_01505,Al2O3,Si(100),ALD,282.8,5.2,0.27,1.09,99.9,2,4.679203441122319e-18,4.68e-18
ALD_Al2O3_Si_01506,Al2O3,Si(100),ALD,239.8,0.9,0.87,1.08,99.9,1.34,1.0571760130409211e-17,1.06e-17
ALD_Al2O3_Si_01507,Al2O3,Si(100),ALD,239.6,4.3,0.85,1.09,99.9,1.31,1.35203659470568e-17,1.35e-17
ALD_Al2O3_Si_01508,Al2O3,Si(100),ALD,349.4,6.1,0.71,1.2,99.9,2,2.978666606519878e-17,2.98e-17
ALD_Al2O3_Si_01509,Al2O3,Si(100),ALD,318.1,7.1,0.78,1.16,99.9,2,1.5308052986336953e-17,1.53e-17
ALD_Al2O3_Si_01510,Al2O3,Si(100),ALD,300.9,6.2,0.39,1.14,99.9,2,5.6250040687538926e-18,5.63e-18
ALD_Al2O3_Si_01511,Al2O3,Si(100),ALD,280.7,3.8,0.79,1.1,99.9,2,2.1861316956053522e-17,2.19e-17
ALD_Al2O3_Si_01512,Al2O3,Si(100),ALD,168.9,1.6,0.59,1,99.9,0.98,1.989281981509502e-18,1.99e-18
ALD_Al2O3_Si_01513,Al2O3,Si(100),ALD,312.3,9,0.34,1.12,99.9,2,6.707945531327954e-18,6.71e-18
ALD_Al2O3_Si_01514,Al2O3,Si(100),ALD,253,0.5,0.7,1.06,99.9,1.97,1.0612957132420686e-17,1.06e-17
ALD_Al2O3_Si_01515,Al2O3,Si(100),ALD,248.8,9.8,0.12,1.05,99.6,1.6,2.4168464219797877e-18,2.42e-18
ALD_Al2O3_Si_01516,Al2O3,Si(100),ALD,283.4,7.5,0.83,1.12,99.9,2,1.3401713990732568e-17,1.34e-17
ALD_Al2O3_Si_01517,Al2O3,Si(100),ALD,318.3,6.5,0.75,1.18,99.9,2,1.814312182995063e-17,1.81e-17
ALD_Al2O3_Si_01518,Al2O3,Si(100),ALD,297.5,6.4,1,1.16,99.9,2,1.5014344631091392e-17,1.50e-17
ALD_Al2O3_Si_01519,Al2O3,Si(100),ALD,229.7,9.2,0.54,1.04,99.9,0.95,5.605407295325598e-18,5.61e-18
ALD_Al2O3_Si_01520,Al2O3,Si(100),ALD,334.2,7.8,0.12,1.17,99.9,2,2.3595936878661055e-18,2.36e-18
ALD_Al2O3_Si_01521,Al2O3,Si(100),ALD,195.6,1.5,0.37,1.03,99.9,0.47,2.1071563805414356e-18,2.11e-18
ALD_Al2O3_Si_01522,Al2O3,Si(100),ALD,171.3,9.2,0.08,0.98,94,0.88,5.278730549648109e-19,5.28e-19
ALD_Al2O3_Si_01523,Al2O3,Si(100),ALD,155.4,5.5,0.1,0.96,95.2,1.61,4.3444383864050545e-19,4.34e-19
ALD_Al2O3_Si_01524,Al2O3,Si(100),ALD,290.8,9.7,0.82,1.12,99.9,2,1.9724451116897564e-17,1.97e-17
ALD_Al2O3_Si_01525,Al2O3,Si(100),ALD,203.6,10,0.74,1.03,94.8,0.41,5.380934648246824e-18,5.38e-18
ALD_Al2O3_Si_01526,Al2O3,Si(100),ALD,198.9,10,0.64,1.05,96.5,0.53,3.084873119411906e-18,3.08e-18
ALD_Al2O3_Si_01527,Al2O3,Si(100),ALD,326.5,2.2,0.33,1.17,99.9,2,1.2126840947864601e-17,1.21e-17
ALD_Al2O3_Si_01528,Al2O3,Si(100),ALD,203.4,3.7,0.89,1.07,99.9,0.51,4.5950591573088195e-18,4.60e-18
ALD_Al2O3_Si_01529,Al2O3,Si(100),ALD,188,3.9,0.51,1.01,99.9,0.69,2.8048398041645943e-18,2.80e-18
ALD_Al2O3_Si_01530,Al2O3,Si(100),ALD,167,0.5,0.38,0.97,99.9,1.11,1.902885730467878e-18,1.90e-18
ALD_Al2O3_Si_01531,Al2O3,Si(100),ALD,292.3,4.2,0.32,1.11,99.9,2,7.987370849205426e-18,7.99e-18
ALD_Al2O3_Si_01532,Al2O3,Si(100),ALD,169.7,3.1,0.63,0.97,99.9,0.92,2.9182378802937253e-18,2.92e-18
ALD_Al2O3_Si_01533,Al2O3,Si(100),ALD,266.7,3.8,0.36,1.09,99.9,2,3.88621812440786e-18,3.89e-18
ALD_Al2O3_Si_01534,Al2O3,Si(100),ALD,328.5,4.5,0.51,1.15,99.9,2,1.4411696878679872e-17,1.44e-17
ALD_Al2O3_Si_01535,Al2O3,Si(100),ALD,317.3,3.8,0.93,1.16,99.9,2,2.0727093026735978e-17,2.07e-17
ALD_Al2O3_Si_01536,Al2O3,Si(100),ALD,325.3,0.9,0.45,1.12,99.9,2,1.0010351372968758e-17,1.00e-17
ALD_Al2O3_Si_01537,Al2O3,Si(100),ALD,314.1,5.5,0.66,1.15,99.9,2,1.625905813011198e-17,1.63e-17
ALD_Al2O3_Si_01538,Al2O3,Si(100),ALD,181.8,5.2,0.28,0.99,99.9,0.74,1.1810728946918698e-18,1.18e-18
ALD_Al2O3_Si_01539,Al2O3,Si(100),ALD,221.7,4,0.71,1.04,99.9,0.78,3.884534455350084e-18,3.88e-18
ALD_Al2O3_Si_01540,Al2O3,Si(100),ALD,209.2,0.3,1,1.02,99.9,0.49,1.5313762025592924e-17,1.53e-17
ALD_Al2O3_Si_01541,Al2O3,Si(100),ALD,331.1,9,0.62,1.16,99.9,2,1.7400858463822907e-17,1.74e-17
ALD_Al2O3_Si_01542,Al2O3,Si(100),ALD,171.1,1.9,0.46,1.02,99.9,0.88,2.6546173287458006e-18,2.65e-18
ALD_Al2O3_Si_01543,Al2O3,Si(100),ALD,341.3,0.3,0.96,1.21,99.9,2,2.293100790602881e-17,2.29e-17
ALD_Al2O3_Si_01544,Al2O3,Si(100),ALD,305.4,0.9,0.42,1.12,99.9,2,1.1732447639505601e-17,1.17e-17
ALD_Al2O3_Si_01545,Al2O3,Si(100),ALD,194,4.7,0.25,1,99.9,0.57,1.4805701521906408e-18,1.48e-18
ALD_Al2O3_Si_01546,Al2O3,Si(100),ALD,226.1,1.1,0.68,1.07,99.9,0.84,2.826215393405305e-18,2.83e-18
ALD_Al2O3_Si_01547,Al2O3,Si(100),ALD,285.2,1.9,0.17,1.08,99.9,2,2.4585148849719086e-18,2.46e-18
ALD_Al2O3_Si_01548,Al2O3,Si(100),ALD,166.2,3.7,0.4,0.99,97.9,1.13,1.9498158605989682e-18,1.95e-18
ALD_Al2O3_Si_01549,Al2O3,Si(100),ALD,225.2,8.9,0.75,1.07,99.9,0.88,6.790381768903878e-18,6.79e-18
ALD_Al2O3_Si_01550,Al2O3,Si(100),ALD,199.6,1.5,0.58,1.05,99.9,0.37,3.995200179667887e-18,4.00e-18
ALD_Al2O3_Si_01551,Al2O3,Si(100),ALD,292.1,4.8,0.69,1.12,99.9,2,1.0521293736696994e-17,1.05e-17
ALD_Al2O3_Si_01552,Al2O3,Si(100),ALD,281.4,2.4,0.98,1.13,99.9,2,1.3044429457734313e-17,1.30e-17
ALD_Al2O3_Si_01553,Al2O3,Si(100),ALD,345.4,5.4,0.15,1.14,99.9,2,4.4272108687310885e-18,4.43e-18
ALD_Al2O3_Si_01554,Al2O3,Si(100),ALD,289.3,8.4,0.41,1.1,99.9,2,4.462722185631432e-18,4.46e-18
ALD_Al2O3_Si_01555,Al2O3,Si(100),ALD,319.3,3.6,0.24,1.13,99.9,2,3.2067816341917538e-18,3.21e-18
ALD_Al2O3_Si_01556,Al2O3,Si(100),ALD,166.7,2.3,0.54,1,99.9,1.14,2.9682476660632536e-18,2.97e-18
ALD_Al2O3_Si_01557,Al2O3,Si(100),ALD,218.3,3,0.59,1.06,99.9,0.71,5.415394496206825e-18,5.42e-18
ALD_Al2O3_Si_01558,Al2O3,Si(100),ALD,304.8,4.2,0.52,1.12,99.9,2,1.4136803378742475e-17,1.41e-17
ALD_Al2O3_Si_01559,Al2O3,Si(100),ALD,215.5,4.1,0.11,1.04,99.9,0.49,8.816591032541436e-19,8.82e-19
ALD_Al2O3_Si_01560,Al2O3,Si(100),ALD,308.8,4.3,0.42,1.13,99.9,2,6.364621474760181e-18,6.36e-18
ALD_Al2O3_Si_01561,Al2O3,Si(100),ALD,236.3,8.1,0.77,1.07,99.9,1.24,4.54579494696095e-18,4.55e-18
ALD_Al2O3_Si_01562,Al2O3,Si(100),ALD,257.5,2.9,0.15,1.05,99.9,2,1.5318623396761216e-18,1.53e-18
ALD_Al2O3_Si_01563,Al2O3,Si(100),ALD,230.1,6.1,0.48,1.02,99.9,0.83,5.43307833097247e-18,5.43e-18
ALD_Al2O3_Si_01564,Al2O3,Si(100),ALD,247.5,6,0.83,1.1,99.9,1.61,1.5222017450278733e-17,1.52e-17
ALD_Al2O3_Si_01565,Al2O3,Si(100),ALD,218,4.8,0.88,1.07,99.9,0.75,7.953541975995332e-18,7.95e-18
ALD_Al2O3_Si_01566,Al2O3,Si(100),ALD,170,0.9,0.21,0.98,99.9,0.93,8.119995698351609e-19,8.12e-19
ALD_Al2O3_Si_01567,Al2O3,Si(100),ALD,311.5,6.3,0.73,1.15,99.9,2,1.2545099857084405e-17,1.25e-17
ALD_Al2O3_Si_01568,Al2O3,Si(100),ALD,230.2,1.4,0.88,1.08,99.9,0.83,6.792748119444448e-18,6.79e-18
ALD_Al2O3_Si_01569,Al2O3,Si(100),ALD,322.5,1.4,0.1,1.1,99.9,2,2.2561311368970104e-18,2.26e-18
ALD_Al2O3_Si_01570,Al2O3,Si(100),ALD,233.1,4.1,0.47,1.05,99.9,0.92,6.821453193970966e-18,6.82e-18
ALD_Al2O3_Si_01571,Al2O3,Si(100),ALD,298,3.3,0.51,1.14,99.9,2,1.4373746237296985e-17,1.44e-17
ALD_Al2O3_Si_01572,Al2O3,Si(100),ALD,348.8,7.1,0.22,1.14,99.9,2,6.931898475227412e-18,6.93e-18
ALD_Al2O3_Si_01573,Al2O3,Si(100),ALD,264.5,3.7,0.12,1.07,99.9,2,1.7893884234202396e-18,1.79e-18
